"Table 6.8A. Persons Engaged in Production by Industry"
"[Thousands]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948"
"80","                Work relief","---","---","---","---",373,787,728,2334,1627,2130,1996,1789,1364,601,47,"---","---","---","---","---"
"81","            Government enterprises",299,300,298,297,300,323,336,343,349,366,375,389,431,449,505,481,495,575,510,538
"82","        State and local",2305,2394,2495,2470,2604,2962,3202,2606,2669,2767,2802,2839,2863,2808,2732,2713,2737,2928,3169,3284
"83","            General government",2195,2278,2378,2366,2505,2857,3092,2487,2544,2641,2674,2693,2705,2655,2577,2564,2589,2771,2992,3073
"84","                Public education",1030,1057,1067,1056,1032,1031,1059,1080,1110,1139,1166,1176,1190,1186,1169,1158,1166,1215,1299,1350
"85","                Nonschool, except work relief",1165,1217,1267,1223,1174,1223,1268,1352,1401,1496,1497,1506,1509,1467,1408,1406,1423,1556,1693,1723
"86","                Work relief","---",4,44,87,299,603,765,55,33,6,11,11,6,2,"---","---","---","---","---","---"
"87","            Government enterprises",110,116,117,104,99,105,110,119,125,126,128,146,158,153,155,149,148,157,177,211
"88","Rest of the world",0,0,1,1,1,1,1,1,1,1,1,2,3,5,-21,-55,-66,-47,-5,7
"Legend / Footnotes:"
"1. Equals the number of full-time equivalent employees plus the number of self-employed persons. Unpaid family workers are not included."
"2. For 1948, included in anthracite mining (line 9)."
"3. For 1948, included in lumber and basic timber products (line 16)."
"4. For 1948, included with iron and steel and their products, including ordnance (line 19)."
"5. For 1948, included with educational services, n.e.c. (line 71)."
"6. Includes Coast Guard."
"Note. Estimates in this table are based on the 1942 Standard Industrial Classification (SIC)."
"n.e.c. Not elsewhere classified"
