"Table 6.8D. Persons Engaged in Production by Industry"
"[Thousands]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2019"
"Line","","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"73","        Educational services",2186,2257,2338,2438,2558,2601,2688,2739,2805,2869,2979,3026,3082,3138,3196,3277,3304,3362,3410,3459,3556
"74","        Health care and social assistance",12109,12318,12589,12876,13279,13614,13821,14129,14652,14932,15286,15531,15791,15963,16615,16967,17294,17763,18197,18604,19088
"75","            Ambulatory health care services",4128,4149,4251,4390,4540,4765,4852,4997,5228,5347,5450,5579,5753,5910,6079,6209,6389,6592,6761,6987,7238
"76","            Hospitals",3449,3508,3536,3770,3884,3942,3992,4074,4159,4260,4357,4403,4416,4434,4500,4512,4513,4641,4735,4821,4874
"77","            Nursing and residential care facilities",2320,2356,2404,2473,2520,2554,2573,2605,2664,2688,2760,2803,2854,2881,2912,2936,2981,2999,3051,3052,3094
"78","            Social assistance",2212,2305,2398,2243,2334,2354,2404,2453,2601,2638,2719,2747,2768,2738,3123,3310,3411,3531,3650,3744,3882
"79","        Arts, entertainment, and recreation",1691,1744,1838,1877,1908,1930,1935,2013,2012,2079,2089,2004,1976,1991,2040,2134,2224,2243,2318,2362,2445
"80","            Performing arts, spectator sports, museums, and related activities",677,683,712,716,733,756,745,785,780,800,814,773,746,765,783,822,841,850,869,885,910
"81","            Amusements, gambling, and recreation industries",1014,1061,1125,1161,1175,1174,1190,1229,1232,1279,1275,1232,1230,1226,1256,1312,1383,1394,1449,1477,1534
"82","        Accommodation and food services",8254,8508,8717,8595,8608,8730,8759,9192,9484,9636,9620,9130,9109,9389,9795,10049,10333,10821,11135,11395,11593
"83","            Accommodation",1621,1666,1708,1724,1668,1657,1481,1717,1726,1745,1760,1595,1585,1636,1664,1713,1734,1777,1798,1825,1866
"84","            Food services and drinking places",6633,6843,7008,6871,6940,7073,7279,7475,7759,7892,7859,7535,7523,7754,8131,8335,8600,9044,9337,9569,9726
"85","        Other services, except government",6483,6562,6651,6607,6826,6868,6881,6847,6916,6971,6969,6734,6579,6509,6697,6725,6912,6981,6952,7009,7244
"86","    Government",18701,18844,19101,19431,19816,19921,19957,19998,20031,20259,20571,20608,20564,20275,20035,19920,20031,20063,20178,20310,20435
"87","        Federal",4205,4162,4171,4134,4196,4253,4210,4165,4155,4207,4284,4339,4400,4340,4279,4201,4135,4137,4167,4149,4178
"88","            General government",3417,3370,3391,3356,3409,3486,3474,3439,3437,3444,3525,3660,3780,3749,3705,3654,3590,3576,3574,3588,3620
"89","                Civilian",1846,1821,1844,1808,1832,1884,1882,1889,1890,1902,1959,2075,2181,2158,2140,2108,2091,2102,2114,2121,2144
"90","                Military8",1571,1549,1547,1548,1577,1602,1592,1550,1547,1542,1566,1585,1599,1591,1565,1546,1499,1474,1460,1467,1476
"91","            Government enterprises",788,792,780,778,787,767,736,726,718,763,759,679,620,591,574,547,545,562,592,562,558
"92","        State and local",14496,14682,14930,15297,15620,15668,15747,15833,15876,16052,16287,16269,16164,15935,15756,15719,15896,15926,16011,16161,16257
"93","            General government",13548,13726,13961,14279,14550,14590,14650,14731,14770,14937,15159,15145,15038,14828,14668,14657,14812,14841,14925,15051,15116
"94","                Education",7234,7372,7572,7742,7925,7959,7954,8038,8049,8138,8250,8266,8178,8123,8024,8166,8252,8274,8331,8294,8182
"95","                Other9",6314,6354,6389,6537,6625,6631,6696,6693,6721,6799,6909,6879,6860,6705,6644,6491,6560,6567,6594,6757,6934
"96","            Government enterprises9",948,956,969,1018,1070,1078,1097,1102,1106,1115,1128,1124,1126,1107,1088,1062,1084,1085,1086,1110,1141
"97","Rest of the world10",-401,-441,-396,-541,-549,-592,-628,-665,-686,-725,-1100,-802,-822,-826,-979,-1066,-1196,-1255,-1404,-1455,-1462
"Legend / Footnotes:"
"1. Equals the number of full-time equivalent employees plus the number of self-employed persons. Unpaid family workers are not included."
"2. NAICS crop and animal production."
"3. Consists of furniture and home furnishings stores; electronics and appliance stores; building material and garden equipment and supplies dealers; health and personal care stores; gasoline stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music stores; miscellaneous store retailers; and nonstore retailers."
"4. Consists of scenic and sightseeing transportation; transportation support activities; and couriers and messengers."
"5. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights."
"6. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural, engineering, and related services; specialized design services; management, scientific, and technical consulting services; scientific research and development services; advertising and related services; and other professional, scientific, and technical services."
"7. Consists of offices of bank and other holding companies and of corporate, subsidiary, and regional managing offices."
"8. Includes Coast Guard."
"9. Employees of Indian tribal governments are classified in state and local government."
"10. Includes estimates of foreign professional workers and undocumented Mexican migratory workers employed temporarily in the United States."
"Note. Estimates in this table are based on the 2012 North American Industry Classification System (NAICS)."
