"Table 6.8C. Persons Engaged in Production by Industry"
"[Thousands]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2019"
"Line","","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"53","            Depository institutions",2161,2150,2160,2157,2069,2005,1990,1974,1938,1923,1927,1934,1928,1903
"54","            Nondepository institutions",361,360,358,372,378,406,461,487,468,509,565,644,692,669
"55","            Security and commodity brokers",501,493,475,471,462,487,530,568,595,619,649,701,762,839
"56","            Insurance carriers",1380,1398,1420,1465,1487,1470,1469,1475,1461,1458,1471,1521,1532,1506
"57","            Insurance agents, brokers, and service",738,775,780,810,818,794,821,825,825,840,842,846,838,862
"58","            Real estate",1555,1611,1619,1620,1598,1587,1622,1650,1656,1682,1691,1708,1765,1773
"59","            Holding and other investment offices",216,227,235,240,250,241,245,247,238,239,238,239,240,243
"60","        Services",25917,27151,28577,29549,30028,30609,31799,32960,34290,35585,37050,38511,39640,41109
"61","            Hotels and other lodging places",1349,1420,1472,1493,1449,1425,1450,1488,1517,1548,1588,1620,1676,1733
"62","            Personal services",1538,1603,1580,1553,1631,1674,1704,1689,1730,1756,1745,1757,1782,1849
"63","            Business services",4663,5078,5391,5708,5580,5584,6039,6563,7111,7654,8250,8970,9538,10182
"64","            Auto repair, services, and parking",1148,1192,1218,1237,1208,1226,1280,1287,1304,1412,1434,1438,1468,1502
"65","            Miscellaneous repair services",544,561,572,592,549,563,595,580,596,581,595,603,567,562
"66","            Motion pictures",395,411,451,461,460,468,474,505,558,583,608,640,654,650
"67","            Amusement and recreation services",858,883,960,1003,1008,1066,1135,1217,1250,1330,1406,1403,1448,1533
"68","            Health services",6600,6729,7085,7393,7709,8076,8329,8526,8721,8958,9165,9282,9395,9525
"69","            Legal services",971,1024,1053,1024,1049,1047,1059,1080,1066,1041,1093,1115,1105,1109
"70","            Educational services",1521,1546,1591,1602,1643,1743,1796,1843,1896,1943,1987,2081,2147,2246
"71","            Social services and membership organizations",3187,3410,3567,3774,4102,3824,3948,4192,4365,4477,4658,4859,5041,5217
"72","                Social services",1772,1890,1957,2096,2236,2188,2260,2482,2598,2672,2795,2911,3039,3165
"73","                Membership organizations",1415,1520,1610,1678,1866,1636,1688,1710,1767,1805,1863,1948,2002,2052
"74","            Other services4",2412,2582,2812,2898,2837,3055,3140,3169,3341,3474,3687,3861,3957,4168
"75","            Private households",731,712,825,811,803,858,850,821,835,828,834,882,862,833
"76","    Government",17237,17642,18045,18372,18422,18338,18281,18290,18396,18408,18532,18701,18844,19101
"77","        Federal",5314,5336,5354,5345,5260,5060,4829,4659,4527,4376,4270,4205,4162,4171
"78","            General government",4489,4487,4498,4486,4411,4240,4047,3866,3724,3575,3477,3417,3370,3391
"79","                Civilian",2121,2156,2176,2221,2198,2181,2135,2051,1986,1913,1870,1846,1821,1844
"80","                Military5",2368,2331,2322,2265,2213,2059,1912,1815,1738,1662,1607,1571,1549,1547
"81","            Government enterprises",825,849,856,859,849,820,782,793,803,801,793,788,792,780
"82","        State and local",11923,12306,12691,13027,13162,13278,13452,13631,13869,14032,14262,14496,14682,14930
"83","            General government",11129,11499,11862,12171,12295,12442,12598,12735,12946,13104,13326,13548,13726,13961
"84","                Education",5648,5918,6112,6252,6310,6381,6484,6601,6774,6892,7075,7234,7372,7572
"85","                Other2",5481,5581,5750,5919,5985,6061,6114,6134,6172,6212,6251,6314,6354,6389
"86","            Government enterprises2",794,807,829,856,867,836,854,896,923,928,936,948,956,969
"87","Rest of the world6",-66,-75,-83,-82,-82,-78,-365,-411,-409,-377,-404,-401,-441,-396
"Legend / Footnotes:"
"1. Equals the number of full-time equivalent employees plus the number of self-employed persons. Unpaid family workers are not included."
"2. Beginning with 1990, reflects the reclassification of employees of Indian tribal governments from the private sector to state and local government."
"3. Reflects the reclassification of air couriers from trucking and warehousing to transportation by air."
"4. Consists of museums, botanical and zoological gardens; engineering and management services; and services, not elsewhere classified."
"5. Includes Coast Guard."
"6. Beginning with 1993, includes estimates of foreign professional workers and undocumented Mexican migratory workers employed temporarily in the United States."
"Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC)."
