"Table 6.17D. Corporate Profits Before Tax by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2019"
"Line","","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"77","    Accommodation and food services",9367,11901,14425,11690,13474,12457,16505,22634,24171,21446,14507,13425,17843,23039,27405,30484,33259,43541,41143,39048,32699
"78","        Accommodation",2069,3243,4031,1489,2478,1461,3921,6032,6416,4734,2085,-4147,-2793,2990,3507,4661,6179,10575,6901,"---","---"
"79","        Food services and drinking places",7298,8658,10394,10201,10996,10996,12585,16602,17755,16712,12422,17572,20635,20049,23897,25823,27080,32966,34242,"---","---"
"80","    Other services, except government",3880,3572,5785,6914,4811,5894,6562,11258,12033,11162,7261,9709,15208,15640,17234,16431,19373,20828,20509,21470,22115
"81","Rest of the world6",102761,121719,145664,168807,156777,158923,195131,225715,239719,337776,390193,348764,385789,412550,405364,398842,404877,402533,411880,454078,501650
"82","    Receipts from the rest of the world",146786,176671,201580,182719,204891,248101,324048,374356,421511,501377,573849,496957,579911,641064,648830,666196,693392,675105,688659,752110,852045
"83","    Less: Payments to the rest of the world",44025,54951,55917,13912,48114,89178,128917,148640,181792,163601,183657,148193,194122,228515,243467,267354,288514,272572,276779,298032,350396
"Legend / Footnotes:"
"1. NAICS crop and animal production."
"2. Consists of scenic and sightseeing transportation; transportation support activities; and couriers and messengers."
"3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights."
"4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural, engineering, and related services; specialized design services; management, scientific, and technical consulting services; scientific research and development services; advertising and related services; and other professional, scientific, and technical services."
"5. Consists of bank and other holding companies."
"6. Consists of receipts by all U.S. residents, including both corporations and persons, of dividends from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of their incorporated foreign affiliates, and earnings of unincorporated foreign affiliates (line 82), net of corresponding payments (line 83)."
"Note. Estimates in this table are based on the 2012 North American Industry Classification System (NAICS)."
